IND,city,lat_city,lon_city
508,Haussignémont,48.7189975,4.7507877
509,Blesme,48.7256649,4.775600799999999
510,Blois,47.5876861,1.3337639
512,Blonville-sur-Mer,49.3391667,0.0313889
513,Bobigny,48.906387,2.4452231
515,Boé,44.1605556,0.6294444
516,Boën-sur-Lignon,45.7456231,4.004278999999999
517,Bogny-sur-Meuse,49.8508333,4.7677778
518,Bohain-en-Vermandois,49.986708,3.4547638
519,Boigneville,48.3350668,2.3741995
520,Val d'Oingt,45.9211413,4.5856762
521,Bois-Colombes,48.9148269,2.2674892
522,Légny,45.9090443,4.5835886
523,Bois-le-Roi,48.4754789,2.6939537
524,Boisleux-au-Mont,50.2103355,2.7814973
525,Boisseaux,48.2564628,1.986893
526,Boisset,44.7828149,2.253915
527,Boissise-le-Roi,48.5280356,2.5737655
528,Boissy-l'Aillerie,49.0770562,2.0291683
529,Boissy-Saint-Léger,48.7479193,2.5124717
530,Bollène,44.2803882,4.7484092
531,Bollwiller,47.8600613,7.262373299999999
532,Bologne,48.201977,5.1411202
534,Bolquère,42.5023721,2.0786803
535,Boncourt,47.48797742607516,7.007569021106258
536,Bondy,48.90309999999999,2.48291
537,Bonnemain,48.4673615,-1.7654466
538,Bonneval,48.181527,1.3853323
539,Bonnevaux,46.8079607,6.1841936
540,Bonneville,46.0775797,6.4086189
541,Bonnières-sur-Seine,49.037481,1.5809775
542,Bons-en-Chablais,46.26491799999999,6.3702817
543,Bonson,45.5225917,4.2154175
544,Boran-sur-Oise,49.16734,2.3586472
545,Bordeaux,44.841225,-0.5800364
546,Bords,45.89760039999999,-0.7958706999999999
547,Borne,45.100013,3.797273
548,Bornel,49.1975734,2.2069574
549,Bort-les-Orgues,45.4010305,2.4992935
551,Bosgouet,49.3583947,0.8496636
552,Bossancourt,48.2822385,4.6038391
553,Bouaye,47.1428126,-1.6917807
554,Boucau,43.5236127,-1.4857538
555,Bouchain,50.2810049,3.3196824
556,Bouchevilliers,49.40352439999999,1.7150903
557,Boucoiran-et-Nozières,43.99557129999999,4.1852431
558,Bouffémont,49.0431342,2.2991001
559,La Celle-Saint-Cloud,48.8478753,2.136145
