,codes,name,links,coord,label,timezone,id,administrative_regions,insee,lat,lon,lat_city,lon_city,city
22,"[{'type': 'source', 'value': '87111278'}, {'type': 'uic', 'value': '87111278'}]",Porte de Clichy,[],"{'lat': '48.89399', 'lon': '2.31462'}",Porte de Clichy (Paris),Europe/Paris,stop_area:SNCF:87111278,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.89399,2.31462,48.8534951,2.3483915,Paris
23,"[{'type': 'source', 'value': '87704825'}, {'type': 'uic', 'value': '87704825'}]",Porte de la Villette Noctilien,[],"{'lat': '48.897525', 'lon': '2.386697'}",Porte de la Villette Noctilien (Paris),Europe/Paris,stop_area:SNCF:87704825,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.897525,2.386697,48.8534951,2.3483915,Paris
24,"[{'type': 'source', 'value': '87414698'}, {'type': 'uic', 'value': '87414698'}]",Porte de Versailles,[],"{'lat': '48.832425', 'lon': '2.287672'}",Porte de Versailles (Paris),Europe/Paris,stop_area:SNCF:87414698,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.832425,2.287672,48.8534951,2.3483915,Paris
0,"[{'type': 'source', 'value': '87414516'}, {'type': 'uic', 'value': '87414516'}]",Porte des Matelots,[],"{'lat': '48.803411', 'lon': '2.104817'}",Porte des Matelots (Versailles),Europe/Paris,stop_area:SNCF:87414516,"[{'insee': '78646', 'name': 'Versailles', 'level': 8, 'coord': {'lat': '48.80354029999999', 'lon': '2.1266886'}, 'label': 'Versailles (78000)', 'id': 'admin:fr:78646', 'zip_code': '78000'}]",78646,48.803411,2.104817,48.80354029999999,2.1266886,Versailles
1,"[{'type': 'source', 'value': '87533653'}, {'type': 'uic', 'value': '87533653'}]",Porte Jeune,[],"{'lat': '47.749576', 'lon': '7.340188'}",Porte Jeune (Mulhouse),Europe/Paris,stop_area:SNCF:87533653,"[{'insee': '68224', 'name': 'Mulhouse', 'level': 8, 'coord': {'lat': '47.7467233', 'lon': '7.3389937'}, 'label': 'Mulhouse (68100-68200)', 'id': 'admin:fr:68224', 'zip_code': '68100;68200'}]",68224,47.749576,7.340188,47.7467233,7.3389937,Mulhouse
2,"[{'type': 'source', 'value': '87982231'}, {'type': 'uic', 'value': '87982231'}]",Porte-D'Asnières,[],"{'lat': '48.890321', 'lon': '2.303406'}",Porte-D'Asnières (Paris),Europe/Paris,stop_area:SNCF:87982231,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.890321,2.303406,48.8534951,2.3483915,Paris
3,"[{'type': 'source', 'value': '87982330'}, {'type': 'uic', 'value': '87982330'}]",Porte-de-la-Chapelle,[],"{'lat': '48.898348', 'lon': '2.358402'}",Porte-de-la-Chapelle (Paris),Europe/Paris,stop_area:SNCF:87982330,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.898348,2.358402,48.8534951,2.3483915,Paris
4,"[{'type': 'source', 'value': '87983619'}, {'type': 'uic', 'value': '87983619'}]",Porte-de-Paris,[],"{'lat': '48.930028', 'lon': '2.356246'}",Porte-de-Paris (Saint-Denis),Europe/Paris,stop_area:SNCF:87983619,"[{'insee': '93066', 'name': 'Saint-Denis', 'level': 8, 'coord': {'lat': '48.935773', 'lon': '2.3580232'}, 'label': 'Saint-Denis (93200)', 'id': 'admin:fr:93066', 'zip_code': '93200'}]",93066,48.930028,2.356246,48.935773,2.3580232,Saint-Denis
5,"[{'type': 'source', 'value': '87611509'}, {'type': 'uic', 'value': '87611509'}]",Porté-Puymorens,[],"{'lat': '42.538781', 'lon': '1.824852'}",Porté-Puymorens (Porta),Europe/Paris,stop_area:SNCF:87611509,"[{'insee': '66146', 'name': 'Porta', 'level': 8, 'coord': {'lat': '42.5260507', 'lon': '1.8256362'}, 'label': 'Porta (66760)', 'id': 'admin:fr:66146', 'zip_code': '66760'}]",66146,42.538781,1.824852,42.5260507,1.8256362,Porta
6,"[{'type': 'source', 'value': '87611400'}, {'type': 'uic', 'value': '87611400'}]",Portet Saint-Simon,[],"{'lat': '43.527904', 'lon': '1.389243'}",Portet Saint-Simon (Portet-sur-Garonne),Europe/Paris,stop_area:SNCF:87611400,"[{'insee': '31433', 'name': 'Portet-sur-Garonne', 'level': 8, 'coord': {'lat': '43.5283006', 'lon': '1.4018308'}, 'label': 'Portet-sur-Garonne (31120)', 'id': 'admin:fr:31433', 'zip_code': '31120'}]",31433,43.527904,1.389243,43.5283006,1.4018308,Portet-sur-Garonne
7,"[{'type': 'source', 'value': '87446948'}, {'type': 'uic', 'value': '87446948'}]",Portet-sur-Garonne RN 20,[],"{'lat': '43.530754', 'lon': '1.405606'}",Portet-sur-Garonne RN 20 (Portet-sur-Garonne),Europe/Paris,stop_area:SNCF:87446948,"[{'insee': '31433', 'name': 'Portet-sur-Garonne', 'level': 8, 'coord': {'lat': '43.5283006', 'lon': '1.4018308'}, 'label': 'Portet-sur-Garonne (31120)', 'id': 'admin:fr:31433', 'zip_code': '31120'}]",31433,43.530754,1.405606,43.5283006,1.4018308,Portet-sur-Garonne
8,"[{'type': 'source', 'value': '87582718'}, {'type': 'uic', 'value': '87582718'}]",Portets,[],"{'lat': '44.6929', 'lon': '-0.425393'}",Portets (Portets),Europe/Paris,stop_area:SNCF:87582718,"[{'insee': '33334', 'name': 'Portets', 'level': 8, 'coord': {'lat': '44.69596869999999', 'lon': '-0.4238244'}, 'label': 'Portets (33640)', 'id': 'admin:fr:33334', 'zip_code': '33640'}]",33334,44.6929,-0.425393,44.69596869999999,-0.4238244,Portets
9,"[{'type': 'source', 'value': '87745380'}, {'type': 'uic', 'value': '87745380'}]",Pougny - Chancy,[],"{'lat': '46.14473', 'lon': '5.96136'}",Pougny - Chancy (Pougny),Europe/Paris,stop_area:SNCF:87745380,"[{'insee': '01308', 'name': 'Pougny', 'level': 8, 'coord': {'lat': '46.1390374', 'lon': '5.9509954'}, 'label': 'Pougny (01550)', 'id': 'admin:fr:01308', 'zip_code': '01550'}]",01308,46.14473,5.96136,46.1390374,5.9509954,Pougny
10,"[{'type': 'source', 'value': '87696211'}, {'type': 'uic', 'value': '87696211'}]",Pougues-les-Eaux,[],"{'lat': '47.076784', 'lon': '3.09403'}",Pougues-les-Eaux (Pougues-les-Eaux),Europe/Paris,stop_area:SNCF:87696211,"[{'insee': '58214', 'name': 'Pougues-les-Eaux', 'level': 8, 'coord': {'lat': '47.0761404', 'lon': '3.100566'}, 'label': 'Pougues-les-Eaux (58320)', 'id': 'admin:fr:58214', 'zip_code': '58320'}]",58214,47.076784,3.09403,47.0761404,3.100566,Pougues-les-Eaux
11,"[{'type': 'source', 'value': '87726042'}, {'type': 'uic', 'value': '87726042'}]",Pouilly Centre,[],"{'lat': '46.143299', 'lon': '4.108136'}",Pouilly Centre (Pouilly-sous-Charlieu),Europe/Paris,stop_area:SNCF:87726042,"[{'insee': '42177', 'name': 'Pouilly-sous-Charlieu', 'level': 8, 'coord': {'lat': '46.14538049999999', 'lon': '4.1092319'}, 'label': 'Pouilly-sous-Charlieu (42720)', 'id': 'admin:fr:42177', 'zip_code': '42720'}]",42177,46.143299,4.108136,46.14538049999999,4.1092319,Pouilly-sous-Charlieu
